Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,05/08/2010,18.09,3.21,1.02,11717.15,647.71
NIFTY NEXT 50,04/08/2010,18.12,3.22,1.01,11738.3,647.81
NIFTY NEXT 50,03/08/2010,18.13,3.22,1.01,11748.8,648.03
NIFTY NEXT 50,02/08/2010,18.06,3.31,0.98,11698.75,647.77
NIFTY NEXT 50,30/07/2010,18.2,3.28,0.99,11564.25,635.4
NIFTY NEXT 50,29/07/2010,18.27,3.29,0.99,11606.25,635.26
NIFTY NEXT 50,28/07/2010,18.23,3.4,0.88,11583.05,635.38
NIFTY NEXT 50,27/07/2010,18.18,3.39,0.88,11549,635.26
NIFTY NEXT 50,26/07/2010,18.14,3.39,0.88,11526.15,635.4
NIFTY NEXT 50,23/07/2010,17.6,3.4,0.88,11577.75,657.83
NIFTY NEXT 50,22/07/2010,17.69,3.42,0.88,11637.4,657.85
NIFTY NEXT 50,21/07/2010,17.7,3.41,0.88,11598.4,655.28
NIFTY NEXT 50,20/07/2010,17.61,3.39,0.88,11539.2,655.26
NIFTY NEXT 50,19/07/2010,17.68,3.41,0.88,11587.05,655.38
NIFTY NEXT 50,16/07/2010,17.6,3.39,0.88,11535.5,655.43
NIFTY NEXT 50,15/07/2010,17.5,3.37,0.89,11468.85,655.36
NIFTY NEXT 50,14/07/2010,17.5,3.37,0.89,11465.8,655.19
NIFTY NEXT 50,13/07/2010,17.52,3.37,0.89,11480.7,655.29
NIFTY NEXT 50,12/07/2010,17.44,3.36,0.89,11428.75,655.32
NIFTY NEXT 50,09/07/2010,17.39,3.35,0.89,11400.95,655.6
NIFTY NEXT 50,08/07/2010,17.31,3.33,0.9,11352.55,655.84
NIFTY NEXT 50,07/07/2010,17.18,3.31,0.9,11266.9,655.81
NIFTY NEXT 50,06/07/2010,17.25,3.32,0.9,11308.75,655.58
NIFTY NEXT 50,05/07/2010,17.13,3.3,0.91,11232.7,655.73
NIFTY NEXT 50,02/07/2010,17.14,3.3,0.91,11239.95,655.77
NIFTY NEXT 50,01/07/2010,17.19,3.31,0.9,11270.4,655.64
NIFTY NEXT 50,30/06/2010,17.24,3.32,0.9,11304.45,655.71
NIFTY NEXT 50,29/06/2010,17.16,3.31,0.91,11254.8,655.87
NIFTY NEXT 50,28/06/2010,17.29,3.33,0.9,11335.75,655.62
NIFTY NEXT 50,25/06/2010,17.05,3.28,0.91,11180.3,655.74
NIFTY NEXT 50,24/06/2010,17.11,3.3,0.91,11220.55,655.79
NIFTY NEXT 50,23/06/2010,17.08,3.29,0.91,11199.85,655.73
NIFTY NEXT 50,22/06/2010,16.98,3.27,0.91,11137.1,655.9
NIFTY NEXT 50,21/06/2010,17.08,3.29,0.91,11199.9,655.73
NIFTY NEXT 50,18/06/2010,16.81,3.24,0.92,11020.65,655.6
NIFTY NEXT 50,17/06/2010,16.9,3.26,0.92,11083.55,655.83
NIFTY NEXT 50,16/06/2010,16.87,3.25,0.92,11062.7,655.76
NIFTY NEXT 50,15/06/2010,16.82,3.24,0.92,11028.55,655.68
NIFTY NEXT 50,14/06/2010,16.73,3.22,0.93,10969.6,655.68
NIFTY NEXT 50,11/06/2010,16.64,3.21,0.93,10914,655.89
NIFTY NEXT 50,10/06/2010,16.75,3.21,0.93,10930.15,652.55
NIFTY NEXT 50,09/06/2010,16.54,3.17,0.94,10789,652.3
NIFTY NEXT 50,08/06/2010,16.38,3.14,0.95,10682.9,652.19
NIFTY NEXT 50,07/06/2010,16.49,3.16,0.95,10759.65,652.5
NIFTY NEXT 50,04/06/2010,16.74,3.21,0.93,10921.8,652.44
NIFTY NEXT 50,03/06/2010,16.7,3.2,0.94,10896.05,652.46
NIFTY NEXT 50,02/06/2010,16.44,3.15,0.95,10729.6,652.65
NIFTY NEXT 50,01/06/2010,16.29,3.12,0.96,10631.7,652.65
NIFTY NEXT 50,31/05/2010,16.59,3.18,0.94,10821.75,652.31
NIFTY NEXT 50,28/05/2010,16.37,3.14,0.95,10681.3,652.49
NIFTY NEXT 50,27/05/2010,14.35,3.07,0.97,10459.75,728.9
NIFTY NEXT 50,26/05/2010,14.2,3.04,0.98,10355.2,729.24
NIFTY NEXT 50,25/05/2010,13.96,2.99,1,10180.25,729.24
NIFTY NEXT 50,24/05/2010,14.4,3.08,0.97,10497.7,729.01
NIFTY NEXT 50,21/05/2010,14.41,3.09,0.97,10507.1,729.15
NIFTY NEXT 50,20/05/2010,14.57,3.12,0.96,10624.25,729.19
NIFTY NEXT 50,19/05/2010,14.54,3.11,0.96,10600.95,729.09
NIFTY NEXT 50,18/05/2010,14.93,3.2,0.94,10882.55,728.9
NIFTY NEXT 50,17/05/2010,14.95,3.2,0.93,10902.1,729.24
NIFTY NEXT 50,14/05/2010,14.95,3.2,0.94,10895.3,728.78
NIFTY NEXT 50,13/05/2010,15.66,3.24,0.92,11038.45,704.88
NIFTY NEXT 50,12/05/2010,15.45,3.2,0.94,10892.85,705.04
NIFTY NEXT 50,11/05/2010,15.29,3.16,0.95,10775.2,704.72
NIFTY NEXT 50,10/05/2010,15.46,3.2,0.94,10894.35,704.68
NIFTY NEXT 50,07/05/2010,14.94,3.1,0.96,10637.25,712
NIFTY NEXT 50,06/05/2010,15.34,3.19,0.94,10915.6,711.58
NIFTY NEXT 50,05/05/2010,15.42,3.2,0.94,10975.9,711.8
NIFTY NEXT 50,04/05/2010,15.25,3.17,0.95,10857.85,711.99
NIFTY NEXT 50,03/05/2010,15.5,3.22,0.93,11061.9,713.67
NIFTY NEXT 50,30/04/2010,15.52,3.22,0.93,11082.1,714.05
NIFTY NEXT 50,29/04/2010,15.4,3.18,0.94,10918.75,709.01
NIFTY NEXT 50,28/04/2010,15.28,3.15,0.95,10852.3,710.23
NIFTY NEXT 50,27/04/2010,15.46,3.19,0.94,10975.85,709.95
NIFTY NEXT 50,26/04/2010,15.7,3.2,0.94,11014.85,701.58
NIFTY NEXT 50,23/04/2010,15.66,3.19,0.94,10986.9,701.59
NIFTY NEXT 50,22/04/2010,15.64,3.19,0.94,10975.45,701.76
NIFTY NEXT 50,21/04/2010,15.61,3.18,0.94,10950.55,701.51
NIFTY NEXT 50,20/04/2010,15.49,3.16,0.95,10864.85,701.41
NIFTY NEXT 50,19/04/2010,15.31,3.12,0.96,10744.1,701.77
NIFTY NEXT 50,16/04/2010,15.48,3.16,0.95,10862.45,701.71
NIFTY NEXT 50,15/04/2010,15.54,3.17,0.95,10901.7,701.53
NIFTY NEXT 50,13/04/2010,15.6,3.18,0.94,10948.1,701.8
NIFTY NEXT 50,12/04/2010,15.6,3.18,0.94,10947.75,701.78
NIFTY NEXT 50,09/04/2010,15.71,3.2,0.93,11024.25,701.73
NIFTY NEXT 50,08/04/2010,15.7,3.2,0.94,11013.4,701.49
NIFTY NEXT 50,07/04/2010,16.17,3.24,0.91,11058.4,683.88
NIFTY NEXT 50,06/04/2010,16.12,3.23,0.92,11020.35,683.64
NIFTY NEXT 50,05/04/2010,16.08,3.23,0.92,10998.3,683.97
NIFTY NEXT 50,01/04/2010,15.84,3.18,0.93,10829.35,683.67
NIFTY NEXT 50,31/03/2010,15.76,3.16,0.94,10773.75,683.61
NIFTY NEXT 50,30/03/2010,15.73,3.16,0.94,10756.95,683.85
NIFTY NEXT 50,29/03/2010,15.7,3.15,0.94,10733.55,683.67
NIFTY NEXT 50,26/03/2010,15.64,3.14,0.94,10691.45,683.6
NIFTY NEXT 50,25/03/2010,15.46,3.1,0.95,10573.35,683.92
NIFTY NEXT 50,23/03/2010,15.43,3.1,0.96,10549.9,683.73
NIFTY NEXT 50,22/03/2010,15.35,3.08,0.96,10512.1,684.83
NIFTY NEXT 50,19/03/2010,15.49,3.11,0.95,10607,684.76
NIFTY NEXT 50,18/03/2010,15.42,3.09,0.96,10561.2,684.9
NIFTY NEXT 50,17/03/2010,15.4,3.09,0.96,10542.4,684.57
NIFTY NEXT 50,16/03/2010,15.35,3.08,0.96,10508.2,684.57
NIFTY NEXT 50,15/03/2010,15.26,3.06,0.97,10446.15,684.54
NIFTY NEXT 50,12/03/2010,15.35,3.08,0.96,10508.85,684.62
NIFTY NEXT 50,11/03/2010,15.34,3.08,0.96,10505.25,684.83
