Date,Price,Open,High,Low,Change %
06/01/2013,7.439,7.424,7.592,7.192,-0.05%
07/01/2013,8.172,7.463,8.481,7.409,9.85%
08/01/2013,8.596,8.172,9.484,8.038,5.19%
09/01/2013,8.766,8.588,8.901,8.163,1.98%
10/01/2013,8.625,8.713,8.743,8.396,-1.61%
11/01/2013,9.044,8.658,9.144,8.638,4.86%
12/01/2013,8.82,9.058,9.19,8.743,-2.48%
01/01/2014,8.77,8.828,8.878,8.493,-0.57%
02/01/2014,8.862,8.774,8.943,8.659,1.05%
03/01/2014,8.804,8.865,8.925,8.695,-0.65%
04/01/2014,8.828,8.863,9.129,8.811,0.27%
05/01/2014,8.645,8.816,8.875,8.6,-2.07%
06/01/2014,8.744,8.652,8.785,8.497,1.15%
07/01/2014,8.718,8.739,8.84,8.634,-0.30%
08/01/2014,8.559,8.747,8.89,8.479,-1.82%
09/01/2014,8.511,8.563,8.563,8.423,-0.56%
10/01/2014,8.278,8.511,8.511,8.255,-2.74%
11/01/2014,8.087,8.262,8.266,8.059,-2.31%
12/01/2014,7.855,8.058,8.11,7.78,-2.87%
01/01/2015,7.691,7.852,7.918,7.672,-2.09%
02/01/2015,7.724,7.7,7.752,7.64,0.43%
03/01/2015,7.738,7.738,7.811,7.648,0.18%
04/01/2015,7.86,7.722,7.873,7.711,1.58%
05/01/2015,7.815,7.875,8.007,7.809,-0.57%
06/01/2015,7.861,7.815,8.017,7.689,0.59%
07/01/2015,7.806,7.865,7.909,7.725,-0.70%
08/01/2015,7.784,7.788,7.911,7.712,-0.28%
09/01/2015,7.539,7.793,7.803,7.527,-3.15%
10/01/2015,7.64,7.527,7.648,7.496,1.34%
11/01/2015,7.786,7.64,7.788,7.61,1.91%
12/01/2015,7.758,7.785,7.818,7.686,-0.36%
01/01/2016,7.779,7.754,7.832,7.707,0.27%
02/01/2016,7.623,7.793,7.879,7.617,-2.01%
03/01/2016,7.459,7.63,7.672,7.453,-2.15%
04/01/2016,7.435,7.451,7.496,7.353,-0.32%
05/01/2016,7.471,7.439,7.499,7.419,0.48%
06/01/2016,7.448,7.473,7.546,7.421,-0.31%
07/01/2016,7.163,7.441,7.441,7.161,-3.83%
08/01/2016,7.11,7.138,7.225,7.074,-0.74%
09/01/2016,6.958,7.104,7.126,6.91,-2.14%
10/01/2016,6.885,6.956,6.956,6.783,-1.05%
11/01/2016,6.243,6.873,6.929,6.113,-9.32%
12/01/2016,6.512,6.257,6.62,6.169,4.31%
01/01/2017,6.407,6.483,6.494,6.294,-1.61%
02/01/2017,6.87,6.403,6.953,6.376,7.23%
03/01/2017,6.658,6.898,6.932,6.665,-3.09%
04/01/2017,6.961,6.658,6.983,6.554,4.55%
05/01/2017,6.661,6.968,6.994,6.653,-4.31%
06/01/2017,6.511,6.649,6.672,6.419,-2.25%
07/01/2017,6.465,6.61,6.618,6.404,-0.71%
08/01/2017,6.525,6.466,6.576,6.419,0.93%
09/01/2017,6.663,6.492,6.71,6.477,2.11%
10/01/2017,6.862,6.674,6.898,6.625,2.99%
11/01/2017,7.058,6.879,7.084,6.847,2.86%
12/01/2017,7.326,7.088,7.41,7.012,3.80%
01/01/2018,7.43,7.349,7.587,7.243,1.42%
02/01/2018,7.726,7.446,7.816,7.399,3.98%
03/01/2018,7.398,7.726,7.8,7.286,-4.25%
04/01/2018,7.767,7.333,7.797,7.123,4.99%
05/01/2018,7.826,7.731,7.945,7.553,0.76%
06/01/2018,7.903,7.86,8,7.769,0.98%
07/01/2018,7.772,7.889,7.917,7.723,-1.66%
08/01/2018,7.951,7.767,7.958,7.681,2.30%
09/01/2018,8.024,7.94,8.231,7.917,0.92%
10/01/2018,7.853,7.923,8.21,7.797,-2.13%
11/01/2018,7.607,7.831,7.84,7.576,-3.13%
12/01/2018,7.37,7.646,7.703,7.218,-3.12%
01/01/2019,7.483,7.401,7.65,7.35,1.53%
02/01/2019,7.591,7.47,7.699,7.425,1.44%
03/01/2019,7.346,7.588,7.59,7.301,-3.23%
04/01/2019,7.414,7.356,7.497,7.229,0.93%
05/01/2019,7.032,7.411,7.426,7.03,-5.15%
06/01/2019,6.879,6.949,7.097,6.734,-2.18%
07/01/2019,6.369,6.906,6.93,6.266,-7.41%
08/01/2019,6.556,6.394,6.639,6.296,2.94%
09/01/2019,6.695,6.498,6.874,6.488,2.12%
10/01/2019,6.643,6.68,6.739,6.582,-0.78%
11/01/2019,6.46,6.431,6.574,6.415,-2.75%
12/01/2019,6.554,6.463,6.837,6.448,1.46%
01/01/2020,6.599,6.548,6.692,6.485,0.69%
02/01/2020,6.371,6.509,6.52,6.326,-3.46%
03/01/2020,6.138,6.343,6.449,5.995,-3.66%
04/01/2020,6.11,6.287,6.504,6.015,-0.46%
05/01/2020,6.013,6.138,6.25,5.879,-1.59%
06/01/2020,5.888,6.055,6.089,5.755,-2.08%
07/01/2020,5.837,5.907,5.907,5.747,-0.87%
08/01/2020,6.078,5.846,6.231,5.808,4.13%
09/01/2020,6.015,5.949,6.109,5.878,-1.04%
10/01/2020,5.881,5.965,6.042,5.791,-2.23%
11/01/2020,5.911,5.89,5.936,5.837,0.51%
12/01/2020,5.894,5.919,5.981,5.887,-0.29%
01/01/2021,5.949,5.905,5.988,5.839,0.93%
02/01/2021,6.229,5.917,6.242,5.888,4.71%
03/01/2021,6.177,6.236,6.274,6.114,-0.83%
04/01/2021,6.03,6.202,6.202,5.99,-2.38%
05/01/2021,6.022,6.029,6.048,5.958,-0.13%
06/01/2021,6.051,6.032,6.089,5.984,0.48%
07/01/2021,6.204,6.082,6.277,6.035,2.53%
08/01/2021,6.215,6.204,6.284,6.188,0.18%
09/01/2021,6.223,6.235,6.235,6.116,0.13%
10/01/2021,6.388,6.23,6.429,6.226,2.65%
11/01/2021,6.326,6.391,6.393,6.287,-0.97%
12/01/2021,6.454,6.36,6.497,6.34,2.02%
01/01/2022,6.684,6.463,6.802,6.455,3.56%
02/01/2022,6.77,6.728,6.955,6.615,1.29%
03/01/2022,6.843,6.799,6.919,6.773,1.08%
04/01/2022,7.139,6.951,7.285,6.891,4.33%
05/01/2022,7.415,7.138,7.491,7.116,3.87%
06/01/2022,7.45,7.437,7.617,7.365,0.47%
07/01/2022,7.32,7.427,7.475,7.255,-1.74%
08/01/2022,7.188,7.357,7.366,7.11,-1.80%
09/01/2022,7.398,7.23,7.423,7.106,2.92%
10/01/2022,7.445,7.403,7.541,7.361,0.64%
11/01/2022,7.28,7.435,7.497,7.235,-2.22%
12/01/2022,7.327,7.255,7.344,7.181,0.65%
01/01/2023,7.343,7.346,7.407,7.266,0.22%
02/01/2023,7.457,7.416,7.465,7.245,1.55%
03/01/2023,7.315,7.468,7.473,7.28,-1.90%
04/01/2023,7.116,7.37,7.37,7.077,-2.72%
05/01/2023,6.989,7.135,7.138,6.947,-1.78%
06/01/2023,7.11,7.019,7.117,6.963,1.73%
07/01/2023,7.172,7.113,7.185,7.047,0.87%
08/01/2023,7.166,7.186,7.256,7.147,-0.08%
09/01/2023,7.21,7.174,7.241,7.086,0.61%
10/01/2023,7.351,7.239,7.395,7.205,1.96%
11/01/2023,7.279,7.376,7.376,7.194,-0.98%
12/01/2023,7.176,7.293,7.298,7.147,-1.42%
01/01/2024,7.144,7.207,7.239,7.134,-0.45%
02/01/2024,7.078,7.129,7.14,7.021,-0.92%
03/01/2024,7.052,7.062,7.103,7.006,-0.37%
04/01/2024,7.195,7.085,7.242,7.075,2.03%
05/01/2024,6.986,7.17,7.173,6.967,-2.90%
06/01/2024,7.008,6.955,7.062,6.945,0.31%
07/01/2024,6.924,7.023,7.024,6.91,-1.20%
08/01/2024,6.863,6.912,6.919,6.843,-0.88%
09/01/2024,6.75,6.877,6.885,6.706,-1.65%
10/01/2024,6.841,6.759,6.875,6.73,1.35%
11/01/2024,6.751,6.831,6.863,6.739,-1.32%
12/01/2024,6.759,6.802,6.807,6.668,0.12%
01/01/2025,6.694,6.774,6.869,6.631,-0.96%
02/01/2025,6.723,6.703,6.731,6.649,0.43%
03/01/2025,6.712,6.849,6.864,6.68,-0.16%
