Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY 50,08/11/2016,22.57,3.24,1.3,8543.55,378.54
NIFTY 50,07/11/2016,22.67,3.22,1.3,8497.05,374.81
NIFTY 50,04/11/2016,22.73,3.19,1.31,8433.75,371.04
NIFTY 50,03/11/2016,22.93,3.21,1.3,8484.95,370.04
NIFTY 50,02/11/2016,23.01,3.23,1.3,8514,370.01
NIFTY 50,01/11/2016,23.31,3.27,1.28,8626.25,370.07
NIFTY 50,30/10/2016,23.31,3.27,1.28,8625.7,370.04
NIFTY 50,28/10/2016,23.34,3.27,1.28,8638,370.09
NIFTY 50,27/10/2016,23.28,3.26,1.28,8615.25,370.07
NIFTY 50,26/10/2016,23.3,3.26,1.28,8615.25,369.75
NIFTY 50,25/10/2016,23.23,3.29,1.27,8691.3,374.14
NIFTY 50,24/10/2016,23.27,3.3,1.27,8708.95,374.26
NIFTY 50,21/10/2016,23.23,3.29,1.27,8693.05,374.22
NIFTY 50,20/10/2016,23.46,3.3,1.27,8699.4,370.82
NIFTY 50,19/10/2016,23.35,3.28,1.28,8659.1,370.84
NIFTY 50,18/10/2016,23.22,3.29,1.28,8677.9,373.73
NIFTY 50,17/10/2016,23,3.23,1.3,8520.4,370.45
NIFTY 50,14/10/2016,22.98,3.25,1.29,8583.4,373.52
NIFTY 50,13/10/2016,23.16,3.25,1.29,8573.35,370.18
NIFTY 50,10/10/2016,23.34,3.3,1.27,8708.8,373.13
NIFTY 50,07/10/2016,23.49,3.29,1.27,8697.6,370.27
NIFTY 50,06/10/2016,23.52,3.3,1.27,8709.55,370.3
NIFTY 50,05/10/2016,23.43,3.32,1.27,8743.95,373.19
NIFTY 50,04/10/2016,23.95,3.33,1.26,8769.15,366.14
NIFTY 50,03/10/2016,23.8,3.31,1.27,8738.1,367.15
NIFTY 50,30/09/2016,23.4,3.27,1.29,8611.15,368
NIFTY 50,29/09/2016,23.51,3.26,1.29,8591.25,365.43
NIFTY 50,28/09/2016,23.97,3.32,1.27,8745.15,364.84
NIFTY 50,27/09/2016,23.9,3.3,1.27,8706.4,364.28
NIFTY 50,26/09/2016,23.94,3.31,1.27,8723.05,364.37
NIFTY 50,23/09/2016,24.24,3.35,1.25,8831.55,364.34
NIFTY 50,22/09/2016,24.34,3.37,1.25,8867.45,364.32
NIFTY 50,21/09/2016,24.11,3.33,1.26,8777.15,364.05
NIFTY 50,20/09/2016,24.06,3.33,1.26,8775.9,364.75
NIFTY 50,19/09/2016,24.15,3.34,1.25,8808.4,364.74
NIFTY 50,16/09/2016,24.07,3.34,1.26,8779.85,364.76
NIFTY 50,15/09/2016,23.97,3.33,1.23,8742.55,364.73
NIFTY 50,14/09/2016,23.92,3.33,1.23,8726.6,364.82
NIFTY 50,12/09/2016,23.89,3.32,1.23,8715.6,364.82
NIFTY 50,09/09/2016,24.31,3.38,1.21,8866.7,364.73
NIFTY 50,08/09/2016,24.54,3.41,1.2,8952.5,364.81
