"Date","Price","Open","High","Low","Change %"
"01/05/2002","7.907","7.907","7.907","7.907","-0.06%"
"01/04/2002","7.912","7.912","7.912","7.912","0.08%"
"01/03/2002","7.906","7.906","7.906","7.906","0.20%"
"01/02/2002","7.890","7.890","7.890","7.890","-0.27%"
"01/01/2002","7.911","7.911","7.911","7.911","-0.35%"
"12/31/2001","7.939","7.939","7.939","7.939","-1.35%"
"12/29/2001","8.048","8.048","8.048","8.048","-1.89%"
"12/28/2001","8.203","8.203","8.203","8.203","-0.76%"
"12/27/2001","8.266","8.266","8.266","8.266","-0.91%"
"12/26/2001","8.342","8.342","8.342","8.342","1.74%"
"12/24/2001","8.199","8.199","8.199","8.199","0.05%"
"12/22/2001","8.195","8.195","8.195","8.195","1.70%"
"12/21/2001","8.058","8.058","8.058","8.058","0.59%"
"12/20/2001","8.011","8.011","8.011","8.011","0.04%"
"12/19/2001","8.008","8.008","8.008","8.008","-0.81%"
"12/18/2001","8.073","8.073","8.073","8.073","1.05%"
"12/15/2001","7.989","7.989","7.989","7.989","0.64%"
"12/14/2001","7.938","7.938","7.938","7.938","-1.00%"
"12/13/2001","8.018","8.018","8.018","8.018","0.15%"
"12/12/2001","8.006","8.006","8.006","8.006","-2.93%"
"12/11/2001","8.248","8.248","8.248","8.248","2.19%"
"12/10/2001","8.071","8.071","8.071","8.071","-0.16%"
"12/08/2001","8.084","8.084","8.084","8.084","-0.89%"
"12/07/2001","8.157","8.157","8.157","8.157","4.66%"
"12/06/2001","7.794","7.794","7.794","7.794","0.04%"
"12/05/2001","7.791","7.791","7.791","7.791","0.21%"
"12/04/2001","7.775","7.775","7.775","7.775","-1.33%"
"12/03/2001","7.880","7.880","7.880","7.880","0.04%"
"12/01/2001","7.877","7.877","7.877","7.877","-0.04%"
"11/29/2001","7.880","7.880","7.880","7.880","-0.01%"
"11/28/2001","7.881","7.881","7.881","7.881","-1.44%"
"11/27/2001","7.996","7.996","7.996","7.996","-1.43%"
"11/26/2001","8.112","8.112","8.112","8.112","-0.32%"
"11/24/2001","8.138","8.138","8.138","8.138","-0.26%"
"11/23/2001","8.159","8.159","8.159","8.159","-0.39%"
"11/22/2001","8.191","8.191","8.191","8.191","-1.49%"
"11/21/2001","8.315","8.315","8.315","8.315","-0.63%"
"11/20/2001","8.368","8.368","8.368","8.368","-1.02%"
"11/19/2001","8.454","8.454","8.454","8.454","-1.09%"
"11/17/2001","8.547","8.547","8.547","8.547","-1.03%"
"11/15/2001","8.636","8.636","8.636","8.636","-0.01%"
"11/13/2001","8.637","8.637","8.637","8.637","0.15%"
"11/12/2001","8.624","8.624","8.624","8.624","-0.56%"
"11/10/2001","8.673","8.673","8.673","8.673","-0.37%"
"11/09/2001","8.705","8.705","8.705","8.705","-0.34%"
"11/08/2001","8.735","8.735","8.735","8.735","0.16%"
"11/07/2001","8.721","8.721","8.721","8.721","-0.40%"
"11/06/2001","8.756","8.756","8.756","8.756","-0.44%"
"11/05/2001","8.795","8.795","8.795","8.795","0.39%"
"11/03/2001","8.761","8.761","8.761","8.761","-0.09%"
"11/02/2001","8.769","8.769","8.769","8.769","-0.69%"
"11/01/2001","8.830","8.830","8.830","8.830","0.34%"
"10/31/2001","8.800","8.800","8.800","8.800","-0.42%"
