Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
Union Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,245.03,0.39,0,0.25,Allowed,1000,500,1.88,4.05,8.22,5.97,6.61,5.77,0,37.71,33.19,0.95,1.08,1.03,0.59,75.78,0.96,51.81,18.83,5.14,25.89,5.69
LIC MF Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,206.22,0.31,0,0.25,Allowed,5000,200,1.84,3.88,7.8,6.01,6.65,5.57,0,33.24,33.19,1.15,0.94,1.03,0.65,70.89,2.53,43.42,20.86,6.61,46.44,1.86
Sundaram Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,162.88,0.28,0,0.25,Allowed,100,1000,1.77,3.96,7.84,5.46,6.26,4.85,0,28.83,33.19,0,1.01,1.03,5.28,71.18,15.49,63.81,7.3,0.07,32.21,6.5
WOC Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,112.96,0.37,0,0.25,Allowed,500,0,0,0,0,0,0,0,0,28.18,33.19,0,1.1,1.03,0.13,76.47,13.16,71.7,4.77,0,34.71,6.71
Mahindra Manulife Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,108.62,0.41,0,0.25,Allowed,1000,0,1.55,3.49,7.04,5.26,5.82,0,0,29.61,33.19,0.92,1.03,1.03,0.24,-0.4,12.74,-0.34,-0.05,0,94.04,82.61
Bank of India Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,40.76,0.21,0,0.5,Allowed,5000,0,1.86,3.97,7.71,5,5.84,4.83,0,30.42,33.19,1.02,1,1.03,0.59,-0.41,8.02,-0.31,-0.09,-0.01,95.87,76.41
ITI Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,37.79,0.21,0,0.25,Allowed,5000,500,1.78,3.94,8.17,5.2,6,5,0,32,33.19,1.04,1.08,1.03,0.58,70.78,0,51.4,17.76,1.62,44.07,6.69
HDFC Balanced Advantage Fund,Balanced Advantage Fund,NIFTY 50 Hybrid Composite debt 50:50 Index,,CRISIL Hybrid 50+50 Moderate Index,,Growth,94865.65,0.72,0,1,Allowed,100,100,-0.07,7.98,30.82,25.26,21.14,21.01,15.08,28.79,41.15,0,11.03,8.33,34.2,66.06,30.13,53.74,5.5,6.82,19.75,2.18
ICICI Pru Balanced Advantage Fund,Balanced Advantage Fund,NIFTY 50 Hybrid Composite debt 50:50 Index,,CRISIL Hybrid 50+50 Moderate Index,,Growth,62050.92,0.87,0,1,Allowed,500,0,0.98,7.77,20.2,14.07,12.62,13.89,12.12,42.56,41.15,0,5.7,8.33,27.03,65.69,19.14,59.48,4.5,1.71,26.6,10.62
Aditya Birla SL Balanced Advantage Fund,Balanced Advantage Fund,NIFTY 50 Hybrid Composite debt 50:50 Index,,CRISIL Hybrid 50+50 Moderate Index,,Growth,7426.98,0.67,0,0.25,Allowed,100,0,1.29,9.21,22.7,13.24,11.93,14.13,11.78,40.03,41.15,0,7.89,8.33,26.36,66.88,21.72,51.14,11.55,4.18,19.87,6.67
Nippon India Balanced Advantage Fund,Balanced Advantage Fund,NIFTY 50 Hybrid Composite debt 50:50 Index,,CRISIL Hybrid 50+50 Moderate Index,,Growth,8750.43,0.56,0,1,Allowed,100,1500,0.68,7.68,23.48,14.28,12.56,14.31,11.41,48.3,41.15,0,7.96,8.33,22.79,66.34,26.08,51.69,10.49,4.15,21.91,3.28
